r,x,y,z,t
146.899994, -35.411377,-14.706843,195.820770,49.034233
146.899994, 27.886395,16.611826,174.026306,49.281891
146.899994, 37.038010,14.414522,201.001236,49.650352
66.800003, 18.763062,11.529437,81.147804,48.385681
66.800003, 22.567457,10.700954,90.722435,48.874451
66.800003, -19.672304,-11.318419,83.431572,49.295776
173.600006, -29.918653,-18.473213,207.695999,48.042015
173.600006, 45.477238,14.705191,253.250656,48.448959
173.600006, -30.736231,-18.605469,214.165253,48.611717
173.600006, 36.198692,16.320534,222.052078,48.913033
173.600006, -32.760204,-17.235016,211.567551,49.167435
173.600006, 38.777393,15.903539,230.400848,49.484718
173.600006, -30.585487,-17.911007,205.970001,49.707878
93.599998, -23.472155,-13.121037,115.403542,48.172043
93.599998, 33.013466,11.494532,141.826324,48.708618
93.599998, -19.784718,-14.705354,109.062996,48.931282
93.599998, -24.601936,-12.804895,118.269676,49.325531
147.000000, 28.187689,16.539288,174.834564,48.069389
147.000000, 38.174622,14.190332,204.760956,48.451141
147.000000, -26.770222,-17.196100,172.849548,48.662994
147.000000, -35.305721,-14.748526,195.567764,49.015091
147.000000, 27.996727,16.643536,174.359390,49.264236
147.000000, 37.394814,14.479430,202.192490,49.636368
120.300003, -31.642984,-13.578340,161.066147,48.377647
120.300003, 25.172678,15.136849,142.920502,48.660515
120.300003, 32.315269,13.405939,163.094009,49.049210
120.300003, -24.564232,-15.337298,141.421677,49.320869
120.300003, -30.696491,-13.792150,158.237396,49.691513
40.200001, -14.270570,-9.265680,49.553165,48.064827
40.200001, -15.768550,-8.962778,53.064938,48.651787
40.200001, 20.437119,8.294747,63.754044,49.496323
66.900002, 19.976267,11.245240,84.192955,48.202492
66.900002, -28.730141,-9.860765,106.763390,48.900833
66.900002, 15.685995,12.988430,76.396370,49.143631
66.900002, 18.469385,11.588824,80.323593,49.581322
173.699997, -37.704498,-16.004667,227.029831,48.135246
173.699997, 31.308542,17.682562,207.689667,48.370705
173.699997, -46.304852,-14.701838,256.242767,48.785881
173.699997, 31.104519,18.612007,216.613571,48.943680
173.699997, -34.603134,-16.671951,217.091141,49.231506
173.699997, 35.009869,16.628801,218.453659,49.509613
120.400002, -26.299126,-14.781193,146.004364,48.518784
120.400002, -43.467865,-12.064263,198.270844,49.165352
120.400002, 26.790934,16.122286,161.414230,49.317596
120.400002, -24.272141,-15.418068,140.134232,49.621887
147.100006, 28.222223,16.564449,175.003510,48.052231
147.100006, -26.773142,-17.222460,173.048218,48.645737
147.100006, 27.932867,16.622063,174.321136,49.246582
147.100006, 37.165680,14.429882,201.578354,49.615936
40.299999, 17.923977,8.638920,58.076473,48.644745
40.299999, -14.710374,-9.191119,50.687435,49.191040
93.699997, 24.694777,12.807405,118.597618,48.356918
93.699997, -27.424831,-12.247900,126.199615,48.768127
93.699997, 22.441597,13.400093,112.770203,49.103065
93.699997, 28.453382,12.137383,128.976807,49.540359
67.000000, -18.288244,-11.677458,80.111649,48.362572
67.000000, 21.861940,10.872598,89.115540,49.291809
67.000000, -20.962238,-11.053825,86.844574,49.735847
173.800003, -39.882481,-15.561707,234.270676,48.268349
173.800003, 30.143505,18.169258,205.584442,48.479210
173.800003, 41.938229,15.374028,241.092804,48.838547
173.800003, -29.878172,-18.425291,206.824417,49.029175
173.800003, -45.342846,-15.051836,252.856934,49.433441
40.400002, 13.676027,9.413316,48.283367,48.789154
40.400002, 14.778226,9.187958,50.900955,49.349136
120.500000, -32.573238,-13.491334,164.052429,48.210327
120.500000, 24.402014,15.418710,141.227142,48.478020
120.500000, 30.313139,13.817439,157.299927,48.844597
120.500000, -26.790186,-14.679887,147.425461,49.150375
120.500000, 35.047600,13.081046,171.501343,49.573090
147.199997, 27.961201,16.622593,174.481430,48.034973
147.199997, 37.245148,14.393712,201.931808,48.405022
147.199997, -26.989859,-17.042799,172.796478,48.628578
147.199997, -35.076962,-14.761830,195.033722,48.977303
147.199997, 28.212889,16.546227,175.083771,49.229721
147.199997, 38.252369,14.310388,205.148758,49.611671
93.800003, 22.806719,13.322585,113.806915,48.089325
93.800003, 29.831621,11.833729,132.961960,48.550819
93.800003, -20.231277,-14.167336,107.479042,48.836960
93.800003, -23.623596,-13.087957,115.709564,49.218315
67.099998, -19.421169,-11.388326,82.931038,48.314468
67.099998, -24.459633,-10.473125,95.773773,48.844002
67.099998, 17.281151,11.983276,77.660965,49.218513
67.099998, 19.508509,11.355455,83.163185,49.659676
120.599998, -32.910500,-13.440526,165.094131,48.262596
120.599998, 24.210121,15.506646,140.909348,48.525131
120.599998, 29.928808,13.886645,156.254745,48.888039
120.599998, -27.367231,-14.512988,149.124481,49.201057
120.599998, 32.637539,13.417095,164.358459,49.584297
147.300003, 27.978565,16.624210,174.616974,48.017418
147.300003, 37.306980,14.534128,202.168091,48.387665
147.300003, -26.997229,-17.095448,172.917435,48.610725
147.300003, -35.105213,-14.841430,195.181793,48.959450
147.300003, 38.258865,14.400588,205.229431,49.593323
93.900002, -28.959414,-11.977361,130.625046,48.017120
93.900002, 20.873215,13.926237,108.968857,48.321510
93.900002, 24.655218,12.841721,118.650475,48.710999
93.900002, -27.642244,-12.229348,126.966782,49.124985
93.900002, 22.236536,13.487235,112.400055,49.455757
173.899994, -45.923553,-14.909043,255.022003,48.047371
173.899994, 30.939465,18.631084,215.647568,48.207649
173.899994, -35.414585,-16.492207,219.829208,48.501823
173.899994, 33.821354,16.937761,214.990479,48.767334
173.899994, -36.392696,-16.286177,222.995941,49.059326
173.899994, 32.579182,17.297792,211.321381,49.311150
173.899994, -39.400211,-15.692533,232.758163,49.634781
67.199997, -24.563160,-10.451242,96.130585,48.297607
67.199997, 17.200104,12.021526,77.539078,48.669540
67.199997, 19.368866,11.407252,82.878288,49.108719
67.199997, 24.223177,10.509790,95.255638,49.631210
40.500000, 14.974335,9.162971,51.435566,48.892700
40.500000, 17.192122,8.780931,56.554626,49.522804
147.399994, 37.330219,14.438338,202.365509,48.370209
147.399994, -27.002743,-17.104120,173.040253,48.592873
147.399994, -35.127514,-14.848574,195.338058,48.941597
