x,y
17.025078, 2.175005
17.062578, 2.121349
17.100079, 2.066208
17.137579, 2.009583
17.175079, 1.951482
17.212580, 1.891913
17.250080, 1.830892
17.287580, 1.768437
17.325081, 1.704573
17.362581, 1.639329
17.400082, 1.572740
17.437582, 1.504849
17.475082, 1.435702
17.512583, 1.365353
17.550083, 1.293864
17.587584, 1.221301
17.625084, 1.147740
17.662584, 1.073262
17.700085, 0.997954
17.737585, 0.921911
17.775085, 0.845233
17.812586, 0.768027
17.850086, 0.690404
17.887587, 0.612480
17.925087, 0.534376
17.962587, 0.456215
18.000088, 0.378124
18.037588, 0.300232
18.075089, 0.222666
18.112589, 0.145558
18.150089, 0.069034
18.187590, -0.006778
18.225090, -0.081754
18.262590, -0.155772
18.300091, -0.228714
18.337591, -0.300469
18.375092, -0.370929
18.412592, -0.439990
18.450092, -0.507558
18.487593, -0.573541
18.525093, -0.637858
18.562593, -0.700429
18.600094, -0.761186
18.637594, -0.820064
18.675095, -0.877006
18.712595, -0.931960
18.750095, -0.984883
18.787596, -1.035733
18.825096, -1.084478
18.862597, -1.131088
18.900097, -1.175540
18.937597, -1.217813
18.975098, -1.257893
19.012598, -1.295767
19.050098, -1.331426
19.087599, -1.364865
19.125099, -1.396080
19.162600, -1.425071
19.200100, -1.451838
19.237600, -1.476385
19.275101, -1.498716
19.312601, -1.518836
19.350101, -1.536751
19.387602, -1.552468
19.425102, -1.565996
19.462603, -1.577344
19.500103, -1.586519
19.537603, -1.593530
19.575104, -1.598388
19.612604, -1.601102
19.650105, -1.601681
19.687605, -1.600136
19.725105, -1.596476
19.762606, -1.590711
19.800106, -1.582853
19.837606, -1.572912
19.875107, -1.560898
19.912607, -1.546824
19.950108, -1.530702
19.987608, -1.512545
20.025108, -1.492367
20.062609, -1.470182
20.100109, -1.446007
20.137609, -1.419859
20.175110, -1.391758
20.212610, -1.361723
20.250111, -1.329777
20.287611, -1.295946
20.325111, -1.260257
20.362612, -1.222738
20.400112, -1.183423
20.437613, -1.142347
20.475113, -1.099549
20.512613, -1.055069
20.550114, -1.008954
20.587614, -0.961253
20.625114, -0.912017
20.662615, -0.861304
20.700115, -0.809172
20.737616, -0.755686
20.775116, -0.700914
20.812616, -0.644926
20.850117, -0.587799
20.887617, -0.529610
20.925117, -0.470440
20.962618, -0.410374
21.000118, -0.349500
21.037619, -0.287906
21.075119, -0.225684
21.112619, -0.162927
21.150120, -0.099730
21.187620, -0.036186
21.225121, 0.027610
21.262621, 0.091562
21.300121, 0.155578
21.337622, 0.219565
21.375122, 0.283433
21.412622, 0.347094
21.450123, 0.410461
21.487623, 0.473453
21.525124, 0.535990
21.562624, 0.597998
21.600124, 0.659404
21.637625, 0.720141
21.675125, 0.780147
21.712626, 0.839364
21.750126, 0.897737
21.787626, 0.955217
21.825127, 1.011760
21.862627, 1.067327
21.900127, 1.121880
21.937628, 1.175390
21.975128, 1.227827
22.012629, 1.279171
22.050129, 1.329400
22.087629, 1.378500
22.125130, 1.426457
22.162630, 1.473262
22.200130, 1.518908
22.237631, 1.563391
22.275131, 1.606710
22.312632, 1.648864
22.350132, 1.689856
22.387632, 1.729689
22.425133, 1.768369
22.462633, 1.805902
22.500134, 1.842294
22.537634, 1.877556
22.575134, 1.911693
22.612635, 1.944717
22.650135, 1.976636
22.687635, 2.007458
22.725136, 2.037196
22.762636, 2.065857
22.800137, 2.093449
22.837637, 2.119983
22.875137, 2.145468
22.912638, 2.169908
22.950138, 2.193313
22.987638, 2.215689
23.025139, 2.237042
23.062639, 2.257377
23.100140, 2.276698
23.137640, 2.295008
23.175140, 2.312311
23.212641, 2.328606
23.250141, 2.343897
23.287642, 2.358181
23.325142, 2.371458
23.362642, 2.383726
23.400143, 2.394981
23.437643, 2.405221
23.475143, 2.414439
23.512644, 2.422630
23.550144, 2.429787
23.587645, 2.435902
23.625145, 2.440967
23.662645, 2.444972
23.700146, 2.447905
23.737646, 2.449757
23.775146, 2.450515
23.812647, 2.450164
23.850147, 2.448691
23.887648, 2.446082
23.925148, 2.442321
